measure,sens_attr,is_fair,counts
positive_predictive_value_parity,Dirty South,False,6.0
positive_predictive_value_parity,Hip-Hop/Rap,True,27.0
positive_predictive_value_parity,Music,True,109.0
positive_predictive_value_parity,Rap & Hip-Hop,True,26.0
positive_predictive_value_parity,Classical,True,3.0
positive_predictive_value_parity,Original Score,True,2.0
positive_predictive_value_parity,Soundtrack,True,3.0
positive_predictive_value_parity,Soundtracks,True,2.0
positive_predictive_value_parity,Dance,True,50.0
positive_predictive_value_parity,Dance & Elec.,True,39.0
positive_predictive_value_parity,Elec.,True,37.0
positive_predictive_value_parity,French Pop,True,13.0
positive_predictive_value_parity,House,True,22.0
positive_predictive_value_parity,Rock,True,53.0
positive_predictive_value_parity,Rap,True,19.0
positive_predictive_value_parity,Adult Alternative,True,9.0
positive_predictive_value_parity,Alternative,True,9.0
positive_predictive_value_parity,Alternative Rock,True,5.0
positive_predictive_value_parity,Pop,False,28.0
positive_predictive_value_parity,Cont. R&B,True,8.0
positive_predictive_value_parity,R&B / Soul,True,14.0
positive_predictive_value_parity,Cont. Country,True,12.0
positive_predictive_value_parity,Country,True,12.0
positive_predictive_value_parity,Honky Tonk,True,10.0
positive_predictive_value_parity,Urban Cowboy,True,5.0
positive_predictive_value_parity,Hip-Hop / Rap,True,7.0
positive_predictive_value_parity,Pop/Rock,True,10.0
positive_predictive_value_parity,Hard Rock,True,4.0
positive_predictive_value_parity,Teen Pop,True,4.0
positive_predictive_value_parity,Elec.a,True,7.0
positive_predictive_value_parity,Singer/Songwriter,False,4.0
positive_predictive_value_parity,East Coast Rap,True,6.0
positive_predictive_value_parity,Hardcore Rap,True,7.0
positive_predictive_value_parity,Pop Rap,False,2.0
positive_predictive_value_parity,Southern Rap,False,2.0
positive_predictive_value_parity,Hip-Hop,True,2.0
positive_predictive_value_parity,Jazz,True,1.0
positive_predictive_value_parity,Soul,True,2.0
positive_predictive_value_parity,Gangsta & Hardcore,True,1.0
positive_predictive_value_parity,Gangsta Rap,True,2.0
positive_predictive_value_parity,West Coast Rap,True,2.0
positive_predictive_value_parity,World,True,1.0
positive_predictive_value_parity,Metal,True,2.0
positive_predictive_value_parity,Alternative Rap,True,1.0
positive_predictive_value_parity,Dubstep,True,1.0
positive_predictive_value_parity,Traditional Country,True,2.0
positive_predictive_value_parity,Classical Crossover,True,1.0
positive_predictive_value_parity,Cont. Singer/Songwriter,False,1.0
positive_predictive_value_parity,R&B,True,1.0
positive_predictive_value_parity,Folk,True,1.0
positive_predictive_value_parity,West Coast,True,1.0
negative_predictive_value_parity,Dirty South,True,6.0
negative_predictive_value_parity,Hip-Hop/Rap,True,27.0
negative_predictive_value_parity,Music,True,109.0
negative_predictive_value_parity,Rap & Hip-Hop,True,26.0
negative_predictive_value_parity,Classical,True,3.0
negative_predictive_value_parity,Original Score,True,2.0
negative_predictive_value_parity,Soundtrack,True,3.0
negative_predictive_value_parity,Soundtracks,True,2.0
negative_predictive_value_parity,Dance,True,50.0
negative_predictive_value_parity,Dance & Elec.,True,39.0
negative_predictive_value_parity,Elec.,True,37.0
negative_predictive_value_parity,French Pop,True,13.0
negative_predictive_value_parity,House,True,22.0
negative_predictive_value_parity,Rock,True,53.0
negative_predictive_value_parity,Rap,True,19.0
negative_predictive_value_parity,Adult Alternative,True,9.0
negative_predictive_value_parity,Alternative,True,9.0
negative_predictive_value_parity,Alternative Rock,True,5.0
negative_predictive_value_parity,Pop,True,28.0
negative_predictive_value_parity,Cont. R&B,True,8.0
negative_predictive_value_parity,R&B / Soul,True,14.0
negative_predictive_value_parity,Cont. Country,True,12.0
negative_predictive_value_parity,Country,True,12.0
negative_predictive_value_parity,Honky Tonk,True,10.0
negative_predictive_value_parity,Urban Cowboy,True,5.0
negative_predictive_value_parity,Hip-Hop / Rap,True,7.0
negative_predictive_value_parity,Pop/Rock,True,10.0
negative_predictive_value_parity,Hard Rock,True,4.0
negative_predictive_value_parity,Teen Pop,True,4.0
negative_predictive_value_parity,Elec.a,True,7.0
negative_predictive_value_parity,Singer/Songwriter,True,4.0
negative_predictive_value_parity,East Coast Rap,True,6.0
negative_predictive_value_parity,Hardcore Rap,True,7.0
negative_predictive_value_parity,Pop Rap,True,2.0
negative_predictive_value_parity,Southern Rap,True,2.0
negative_predictive_value_parity,Hip-Hop,True,2.0
negative_predictive_value_parity,Jazz,True,1.0
negative_predictive_value_parity,Soul,True,2.0
negative_predictive_value_parity,Gangsta & Hardcore,True,1.0
negative_predictive_value_parity,Gangsta Rap,True,2.0
negative_predictive_value_parity,West Coast Rap,True,2.0
negative_predictive_value_parity,World,True,1.0
negative_predictive_value_parity,Metal,True,2.0
negative_predictive_value_parity,Alternative Rap,True,1.0
negative_predictive_value_parity,Dubstep,True,1.0
negative_predictive_value_parity,Traditional Country,True,2.0
negative_predictive_value_parity,Classical Crossover,True,1.0
negative_predictive_value_parity,Cont. Singer/Songwriter,True,1.0
negative_predictive_value_parity,R&B,True,1.0
negative_predictive_value_parity,Folk,True,1.0
negative_predictive_value_parity,West Coast,True,1.0
false_positive_rate_parity,Dirty South,False,6.0
false_positive_rate_parity,Hip-Hop/Rap,True,27.0
false_positive_rate_parity,Music,True,109.0
false_positive_rate_parity,Rap & Hip-Hop,True,26.0
false_positive_rate_parity,Classical,True,3.0
false_positive_rate_parity,Original Score,True,2.0
false_positive_rate_parity,Soundtrack,True,3.0
false_positive_rate_parity,Soundtracks,True,2.0
false_positive_rate_parity,Dance,True,50.0
false_positive_rate_parity,Dance & Elec.,True,39.0
false_positive_rate_parity,Elec.,True,37.0
false_positive_rate_parity,French Pop,True,13.0
false_positive_rate_parity,House,True,22.0
false_positive_rate_parity,Rock,True,53.0
false_positive_rate_parity,Rap,True,19.0
false_positive_rate_parity,Adult Alternative,True,9.0
false_positive_rate_parity,Alternative,True,9.0
false_positive_rate_parity,Alternative Rock,True,5.0
false_positive_rate_parity,Pop,True,28.0
false_positive_rate_parity,Cont. R&B,True,8.0
false_positive_rate_parity,R&B / Soul,True,14.0
false_positive_rate_parity,Cont. Country,True,12.0
false_positive_rate_parity,Country,True,12.0
false_positive_rate_parity,Honky Tonk,True,10.0
false_positive_rate_parity,Urban Cowboy,True,5.0
